Format,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Vinyl,71.2,70.4,71.1,69.8,69.7,66.2,65.6,66.6,65.4,60.9,51.7,42.6,35.8,26.1,18.0,11.4,5.1,2.4,1.2,0.8,0.6,0.5,0.6,0.7,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.6,0.8,1.3,1.7,2.3,3.0,3.6,5.1,4.7,4.4,4.3,4.5
8-Track,24.2,25.0,24.4,24.8,23.2,22.9,18.6,14.3,7.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassette,4.6,4.6,4.5,5.4,7.1,10.9,15.8,19.1,26.7,38.2,47.8,55.0,55.3,53.9,53.5,55.0,53.9,49.4,41.4,37.9,32.0,27.0,20.6,16.7,13.5,11.1,7.6,4.4,2.6,1.7,0.9,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.4,8.9,20.0,28.6,33.6,39.3,45.8,55.8,59.6,65.3,70.6,77.0,80.7,83.3,84.8,89.4,93.3,94.5,95.7,95.2,92.3,86.0,79.9,70.2,62.4,55.8,48.3,43.5,35.4,30.4,26.6,21.5,14.9,12.1,7.1,5.5
Music Video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.3,1.5,1.7,2.1,1.9,1.8,1.9,2.6,3.7,2.6,2.0,2.4,2.3,3.4,4.9,4.9,3.8,4.6,2.6,2.8,2.5,2.1,1.7,1.5,1.3,1.0,0.8,0.5,0.5,0.2
Digital Download,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.1,7.4,12.4,19.5,25.3,32.0,36.8,40.9,40.1,37.1,33.7,23.5,15.4,10.1,7.7
Ringtones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,6.6,9.9,11.1,9.0,6.4,3.9,2.1,1.4,1.0,0.8,0.7,0.4,0.3,0.2
Streaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.1,2.6,3.7,4.9,6.6,9.2,14.7,20.6,27.4,34.7,52.4,64.5,74.9,79.5
Synchronization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.8,2.7,2.7,2.8,3.0,2.8,2.6,2.9,2.4
